observationId,observationStartMJD_TAI,visitTime,visitExposureTime,filter,seeingFwhmGeom_arcsec,seeingFwhmEff_arcsec,fieldFiveSigmaDepth_mag,fieldRA_deg,fieldDec_deg,fieldRotSkyPos_deg
87041,60351.24200102355,34.0,30.0,r,0.8038137288724928,0.9146152419373391,24.038219285951286,155.85192124330894,12.110458458143242,157.16779250618688
87119,60351.278814157085,31.0,30.0,u,0.7082980182291776,0.7984160805707756,24.08185473356234,157.83510621394578,-8.68461571090169,182.4444940029169
87197,60351.31501575437,34.0,30.0,g,0.7184150817982453,0.8107239437934858,24.805722553847612,166.19462030833625,-15.84363403557869,200.24417819015682
87275,60351.35294552732,34.0,30.0,r,0.7374666783526059,0.8339010685554816,24.179013921310677,197.74910927345596,12.262678008372395,154.8019369221411
87356,60352.02183879886,34.0,30.0,i,0.6586421149311913,0.7380074390890405,23.374321166911592,49.55748655971498,-35.14486957078994,287.92196325905945
87433,60352.0587808798,34.0,30.0,r,0.6599556036223121,0.7396053572047592,24.434235930051575,71.89585398301288,-56.27845364687685,337.6255098684195
87510,60352.09636908051,31.0,30.0,u,0.7590082860682129,0.8601074039759281,23.903338139681534,77.8001723691759,-2.7191715115043107,235.31105800276208
87587,60352.13215049394,34.0,30.0,r,0.590056908619909,0.6545704484427116,24.558459545128578,89.8163938817569,-18.68347018950311,255.06166308481954
87664,60352.16820982489,34.0,30.0,i,0.8875317663640748,1.0164620028760034,23.513237016457825,84.01901081092473,-24.979566881149992,266.29168068123937
87741,60352.20468914599,34.0,30.0,r,0.8255818800997177,0.9410971777368828,24.129887706279515,117.02833652655282,-65.02963032158122,334.7689173980049
87818,60352.24105010717,34.0,30.0,r,0.61032398358072,0.6792262573974696,24.534131151168896,180.5971794158516,-45.127167895861504,72.57128688870627
87895,60352.2791035308,31.0,30.0,u,0.6040559415966246,0.6716009021856746,24.32276546766493,156.46420841195908,-44.22184324518588,329.08057031012794
87972,60352.315864214055,34.0,30.0,g,0.7002268257443421,0.7885971116111218,24.865323732688026,153.2177983079111,-39.16210756576047,293.8590589989072
88049,60352.35327335629,34.0,30.0,r,0.7898862108527146,0.8976717893585335,24.12054621070286,174.29183655267184,-3.170294888078026,231.9813309452932
88129,60353.021700925674,34.0,30.0,r,0.8581092683851925,0.9806682097143461,23.747890153287436,67.52629416011725,-16.615041095082802,139.11504992542882
88205,60353.05757659651,31.0,30.0,u,1.0433431108341984,1.206013516829925,23.570677688099153,129.9115284115063,-20.902216897212067,36.92988529768406
88281,60353.093763465455,34.0,30.0,r,1.1493464466161114,1.3349713462483108,23.797167599011203,110.82259536119247,-59.47070820012271,292.831853063302
88357,60353.13023369539,34.0,30.0,i,1.3534680632346148,1.5832944808206992,23.097587497617212,82.86230363539097,-48.53325054995818,214.27403249866617
88433,60353.165658106765,34.0,30.0,y,1.8046100121516098,2.13212896855427,21.038693527423774,103.94074070977017,14.368089957524687,134.22916062493195
88509,60353.203076225895,34.0,30.0,r,1.048862645188411,1.2127282788180185,23.798317644629215,132.8670896183781,2.7140838678260586,122.23691093951967
